농구하다; to play basketball
수영하다; to swim
야구하다; to play baseball
축구하다; to play soccer
태권도하다; to do taekwondo
꼴프를 치다; to play golf
탁구를 치다; to play ping-pong
테니스를 치다; to play tennis
스케이트를 타다; to skate
스키를 타다; to ski
가요; Korean popular song
외국; foreign country
노래하다; to sing
안내하다; to guide
배우러 다니다; to attend in order to learn
일이 많다; to have a lot of work
나중에 우리 같이 테니스 쳐요; Let's play tennig together later
시간이 있을 때 뭐 하세요?; When you have free time, what do you do?
요즘 어떻게 지내세요?; How have you been these days?
죄송합니다; I'm sorry.
고등학교; high school
자기소개서; self-introduction letter
전공; major
편지; letter
프로그램; program
운전하다; to drive
무역 회사; traiding company
물록; of course, certainly
방학 때마다; every school vacation
여러 가지; various, diverse, many kinds of
열심히 공부하다; to study hard
학원에 다니다; to attend an academy
잘 부탁드립니다; Please treat me well.
테니스장; tennis court
퇴근; leaving one's office
소개하다; to introduce
시작하다; to start, to begin
친절하다; to be kind, to be considerate
소개해 주다; to make an introduction, to introduce (someone)
신촌 역 2번 출구; exit 2 of Sinchon Station
일찍; early
그럼요; Of course, naturally
내일 만나요; See you tomorrow
