위치; Location; положение
위; above, on;на
아래; below, under,;под
앞; in front of, ahead of; перед
뒤; behind; позади
옆; beside, next to; возле
안; inside, in; внутри
밖; outside; снаружи
사이; between; между
왼쪽; left; слева
오른쪽; right; справа
대화; dialogue; диалог
공윈; park; парк
근처; near, nearby; окрестность
빌딩; building; здание
열쇠; key; ключ
저기; there, that place; там (вдали)
지갑; wallet; бумажник
편의점; convenience store; круглосуточный магазин
산책하다; to take a walk; прогуливаться
혹시; maybe; может быть...
감사합니다; Thank you; спасибо
아니에요; You're welcome; не за что
이쪽으로 가세요; Go this way; иди в этом направлении
읽고말하기; Reading and speaking; чтение и разговор
대학교; university; универ
-후; after; после
휴게실; lounge; комната отдыха
-층; floor; этаж
도착하다; to arrive; прибывать
배우다; to learn; учить(ся)
돈을 찾다; to withdraw money (from a bank); снимать деньги
일찍; early; рано
거기; there, that place; там
동료; co-worker, colleague; коллега
사무실; office; офис
케이크; cake; торт
말하다; to speak; говорить
주다; to give; дать
찾다; to look for something; искать
기쁘다; to pe pleased, to be happy; быть счастливым
가지고 오다; to bring; приносить
그런데; but, however; кстати
다시; again; снова
돈을 보내다; to send money; отправить деньги
하지만; but, howerver; но
